searchedCategory,productTitle,productLink,productPrice,productRatings,insertDate
ar-condicionado,Ar-condicionado Hw LG Dual Inverter Voice 12000 Btu R32 Frio 220v,https://www.mercadolivre.com.br/ar-condicionado-hw-lg-dual-inverter-voice-12000-btu-r32-frio-220v/p/MLB27106544?pdp_filters=category:MLB1646#searchVariation=MLB27106544&position=1&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.446,4.8,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Hi Wall LG Dual Inverter Voice 12.000 Btus Quente E Frio 220v R-32,https://www.mercadolivre.com.br/ar-condicionado-hi-wall-lg-dual-inverter-voice-12000-btus-quente-e-frio-220v-r-32/p/MLB27285620?pdp_filters=category:MLB1646#searchVariation=MLB27285620&position=2&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.949,5.0,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Philco Eco  split inverter  frio/quente 12000 BTU  branco 220V PAC12000ITQFM9W|096652814,https://www.mercadolivre.com.br/ar-condicionado-philco-eco-split-inverter-frioquente-12000-btu-branco-220v-pac12000itqfm9w096652814/p/MLB16368971?pdp_filters=category:MLB1646#searchVariation=MLB16368971&position=3&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.499,4.7,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Philco  split  frio 12000 BTU  branco 220V PAC12000TFM12,https://www.mercadolivre.com.br/ar-condicionado-philco-split-frio-12000-btu-branco-220v-pac12000tfm12/p/MLB19474976?pdp_filters=category:MLB1646#searchVariation=MLB19474976&position=4&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.198,4.7,2023/11/16 10:29:36
ar-condicionado,Ar condicionado LG Dual Inverter Voice  split  frio 9000 BTU  branco 220V S4-Q09AA31B,https://www.mercadolivre.com.br/ar-condicionado-lg-dual-inverter-voice-split-frio-9000-btu-branco-220v-s4-q09aa31b/p/MLB19934366?pdp_filters=category:MLB1646#searchVariation=MLB19934366&position=5&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.499,4.8,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Samsung Windfree  split inverter  frio 12000 BTU  branco 220V AR12AVHABWK,https://www.mercadolivre.com.br/ar-condicionado-samsung-windfree-split-inverter-frio-12000-btu-branco-220v-ar12avhabwk/p/MLB19319180?pdp_filters=category:MLB1646#searchVariation=MLB19319180&position=6&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.699,4.8,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Philco Eco  split inverter  frio 18000 BTU  branco 220V PAC18000IFM9W,https://www.mercadolivre.com.br/ar-condicionado-philco-eco-split-inverter-frio-18000-btu-branco-220v-pac18000ifm9w/p/MLB16590996?pdp_filters=category:MLB1646#searchVariation=MLB16590996&position=7&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$3.099,4.8,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Electrolux Inverter Techno  split  frio 9000 BTU  branco 220V QI/QE09F,https://www.mercadolivre.com.br/ar-condicionado-electrolux-inverter-techno-split-frio-9000-btu-branco-220v-qiqe09f/p/MLB9130226?pdp_filters=category:MLB1646#searchVariation=MLB9130226&position=8&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.149,4.6,2023/11/16 10:29:36
ar-condicionado,Mini Ar Condicionado Climatizador Umidificador De Portátil,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=5NTfNEyadF7UkWTWQxXd0UpJ%2BGp3y%2FJcu4t5A7fBxJuENodKPjxGJ%2BLDjvSyDtwKZfvkIni217JEO4JviYqRxTGXMkJeAqHdtHqedbLAwCqn5AlOUETCyBMsp6pLVDQtYqM4vRW6nSvhnyCeD9Jjwz3BEyJHvE%2FHBdPrWzZQf7jtmh3cWh92JNFQdU0BBw34XFnpNbwRIwkBOSW2aVEu36RwJXxfBKTTao6SLEnpTU0Dii5WS5NfA8BcfdaKM7PZdjTCqI3meoRKNM2kdBThANfVRC3igbRknNpwDHbhK%2Bg5Du2XLxsOaPz%2FTj0gtMkPhKXwFeI8EjmghyA2H6whoVSW10z2107vGN5IHE3shp7ZO89a%2FtAuTNMpCA0%2Fzx5Q%2FdAlI9BPO2MFxc2BAEfKVdc6YExAOYJsIOHtH5YC05thUkSFOzVtFj6t5SnoLWqJ%2FC5J2oesZMBylwzZYXG%2BxPbAWd5dslfO8X%2FSGLuJjiX5RJ32Ikwv6pmCSoLT2UyqF8SlOjEXpYW6SAM%2Bfq3Uz1MDGsIE1NYVNuX%2B50MyJ7%2BAJmBRj9PDANvwpKqr3nS%2BKuTZb%2BoT8LsqutfLbKoGDL3W0dhMB3y8eDC5ifi6Dr7%2FbmNxJzVoF5pZQsK6Wh%2F2%2BjfqdrORY%2BA6udaFnQ2VXoVNFWfcRft6eu26o9OTSrgET9DS66fc1m6IW%2FzYDQbO1Pg23ioB0HZVyZ2UTDFS09MOQ0Y%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,"R$275,93",,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Climatizador Com Refreshing Arctic Air Ultra,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=q%2FM65OcQaCylta9roUanQ3w%2BGlJzno%2FTTcrTejzBzhbnn%2FUFC2fqQbHKkJ7uh9fCTRt%2B%2BjVvKZOxIu1BJLdGkR7iNwDFbNFT1nCkQrsk0XsUizTfdMODZR0BLTKWEjdgmLpKkH6o9SaAiDP1UcT1Lse67N%2FUAZSHcYu7T4e50gpnxreZ26kDzFB24Ft3Zj5zFon93A0RwF4Tdskl40%2BGY05JznhzSUUXMqpS09iyVujmBTdhX1xzSzzyf1MRl821eZY8ll352NllXGbCSP5Vj7vpGHOhN3vUlJJSrCTlHFtKnFqYXSv99LU0wlPj7smP49AUivDLfwIp6IZabma%2BqhXHHgxFZd7aDgZNyVOpsnf%2F8UqvbKr2Q4a46MQ6DU86zHjKxlVh9Xr3zVK6y%2BKuR0piIiTDxXgLn%2FyVUrcAPwIECiNxGgaCIcTP%2FnP7%2FiRQJ%2FO%2FgDc2rh1%2Bl9cKGf9Y3NNUK%2BK3A9yycJcAUyhHLUdgfJxe55czCVSa%2FKPKhA6UfEmKJd6X3Rjss%2BNerPhPI36stmZlFU3b4uhr5vLbp7wZZaY4QZ04VJs1%2BgCNlgqd5auOhhkaYI2cbfNnJQbSGPKNmdi%2BUU%2F25o1ww9Aa%2BjycDuqfuA00g6G7BMv78lhfCFY%2BtkSID2v0i901fI0QQ6d8N4INSCQIOCyn7Fc5pFp%2FdxL8uC4B1KMLSvoI1A9eATVxMGKMp7BnmJ%2BDskN3zHXAOmLi%2FBvW&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,"R$245,99",2.3,2023/11/16 10:29:36
